date,equity
2021-03-22,240990.51334227546
2021-03-23,240387.17565001472
2021-03-24,238332.14142948829
2021-03-25,236643.34128433408
2021-03-26,237633.95183017978
2021-03-30,239240.68490607716
2021-03-31,238126.27960975148
2021-04-01,242032.34590918996
2021-04-05,240875.26176459767
2021-04-06,242039.14376476826
2021-04-07,244277.00291088643
2021-04-08,246869.36395563214
2021-04-09,245674.2475158128
2021-04-12,243215.30548474728
2021-04-13,244127.55023070663
2021-04-15,243689.36587338528
2021-04-16,243247.48473935208
2021-04-19,238416.24821943798
2021-04-20,237724.7992091076
2021-04-23,237651.52791005367
2021-04-26,237851.39765518607
2021-04-27,238519.6930857387
2021-04-28,238235.96705850674
2021-04-30,239663.95868143154
2021-05-06,241826.41163858486
2021-05-07,241900.88482889248
2021-05-10,245618.63721596164
2021-05-11,246658.2071688959
2021-05-12,247218.9566692619
2021-05-14,246949.04105940362
2021-05-17,246315.52863942873
2021-05-18,246218.83312465376
2021-05-19,245739.9703225698
2021-05-21,245358.0659239607
2021-05-26,247562.5148680525
2021-05-27,243215.06274242856
2021-05-28,242408.1857161613
2021-05-31,239678.26335288005
2021-06-01,238760.39900387905
2021-06-02,238804.48030516738
2021-06-03,239439.3568119728
2021-06-04,241532.12790724868
2021-06-07,239489.2955746376
2021-06-08,239353.28170058364
2021-06-09,238607.7682079994
2021-06-10,239675.87916228408
2021-06-11,241902.9755697473
2021-06-14,241043.75845520827
2021-06-15,239822.95808213088
2021-06-16,237926.4201220784
2021-06-17,236423.46099300124
2021-06-18,232916.5056803705
2021-06-21,233040.4891147769
2021-06-22,233537.92051593176
2021-06-23,232308.5422505509
2021-06-25,232212.38059893958
2021-06-28,232520.11848346106
2021-06-29,232046.75135699622
2021-06-30,231805.0377949845
2021-07-01,233838.23628131262
2021-07-02,233401.0171345841
2021-07-05,237076.20887652747
2021-07-06,238967.00424767035
2021-07-07,239143.90366936225
2021-07-08,238460.15885450688
2021-07-09,238305.71458723393
2021-07-12,238546.90384199467
2021-07-13,242511.835566543
2021-07-14,242566.44860532694
2021-07-15,247745.20786372566
2021-07-16,248379.83652583504
2021-07-19,248231.4834498539
2021-07-20,248631.13407693652
2021-07-22,246649.59096830117
2021-07-23,246233.11782814242
2021-07-26,248139.8843076346
2021-07-27,244919.71803078518
2021-07-28,243052.22204261372
2021-07-29,242622.0086613576
2021-07-30,246459.72881888127
2021-08-02,247816.47062491154
2021-08-03,245808.18115042424
2021-08-04,242808.9426250336
2021-08-05,240433.5349121451
2021-08-06,240008.08792560996
2021-08-09,240430.51739993723
2021-08-10,239319.205896107
2021-08-11,236379.4328489185
2021-08-12,236125.72458608449
2021-08-13,236031.8403697759
2021-08-16,234755.71024282277
2021-08-17,235181.52719838917
2021-08-18,236263.20157583058
2021-08-20,234384.21084908268
2021-08-23,232386.36009965083
2021-08-24,232059.83904988578
2021-08-25,231701.10256974472
2021-08-26,229832.88575761093
2021-08-27,232174.55917374862
2021-08-30,234014.81350164878
2021-08-31,235503.09672766196
2021-09-01,234053.6886313485
2021-09-02,236879.49947835598
2021-09-03,239039.29733834957
2021-09-06,240742.90938591646
2021-09-07,240370.60658120882
2021-09-09,246180.39767431762
2021-09-13,246084.0132429015
2021-09-14,246445.60284246888
2021-09-17,241823.34481751872
2021-09-23,240892.86790781358
2021-09-24,246851.06183611165
2021-09-27,245916.72109564368
2021-09-28,245362.93605157657
2021-09-29,246100.23701593204
2021-09-30,245542.04725763126
2021-10-01,246403.24769708439
2021-10-04,249686.13142511173
2021-10-05,248511.1131756
2021-10-06,249131.4269573383
2021-10-07,249000.72529718204
2021-10-08,248404.41365167423
2021-10-11,248215.64498191103
2021-10-12,245722.90795023768
2021-10-13,247591.9599521908
2021-10-14,248101.6486926493
2021-10-18,245421.58106838103
2021-10-19,242200.54468141778
2021-10-20,240925.0608585931
2021-10-21,240682.43547535455
2021-10-22,238557.30802311125
2021-10-25,237264.65761481907
2021-10-26,237181.0908721024
2021-10-27,238575.42910567508
2021-10-28,234243.0769785999
2021-10-29,235264.50499576994
2021-11-01,236553.41637583644
2021-11-02,236374.3920151797
2021-11-03,235659.4977738467
2021-11-04,236143.98740549953
2021-11-08,238117.5595872012
2021-11-09,239339.6245316952
2021-11-10,241447.78226942715
2021-11-11,239532.74659879343
2021-11-12,242665.98875577585
2021-11-15,243557.43145902292
2021-11-16,244215.9584060444
2021-11-17,242534.31907804147
2021-11-18,239984.1067588224
2021-11-22,239170.49831885158
2021-11-24,238180.96320154198
2021-11-25,238202.04761316307
2021-11-26,234009.69995783278
2021-11-29,231928.0368379926
2021-12-01,231812.625522247
2021-12-02,232116.42643761693
2021-12-03,232254.7575380808
2021-12-06,230264.09233117162
2021-12-07,233112.17881798802
2021-12-08,233234.0177156931
2021-12-09,233637.3924410349
2021-12-10,234169.28610253392
2021-12-13,234841.84066766413
2021-12-14,235357.85916131648
2021-12-15,235464.42208856257
2021-12-17,233465.13207619285
2021-12-20,232361.05395119285
2021-12-21,231818.72897046118
2022-01-03,231726.3314971615
2022-01-06,230720.4004558201
2022-01-11,228657.64801665023
2022-01-14,227682.92763828847
2022-01-20,227591.74978189953
2022-01-24,222432.32796228022
2022-01-27,222326.37048246
2022-01-28,223058.49822266627
2022-01-31,224115.8029828212
2022-02-01,226974.04063715338
2022-02-02,227492.49713434576
2022-02-04,225658.07899011968
2022-02-07,223718.49582524484
2022-02-08,221179.24049992746
2022-02-09,220648.21697087472
2022-02-10,219435.43137000623
2022-02-11,218141.44150374306
2022-02-14,214085.60344935372
2022-02-15,214000.4230957341
2022-02-17,216115.58605464833
2022-02-18,215663.20485155346
2022-02-21,217766.534368241
2022-02-22,217854.877214902
2022-02-28,217767.01159019224
2022-03-03,221208.8415263563
2022-03-04,219523.75743070967
2022-03-07,219435.02499675722
2022-03-10,226112.92165248605
2022-03-11,226022.2993539172
2022-03-14,227602.30556680003
2022-03-28,227515.05004436005
2022-04-22,222245.65748283215
2022-04-25,220821.42288968465
2022-04-26,221129.86127835576
2022-04-27,220856.5793112007
2022-04-28,221158.7818393558
2022-05-04,223426.6059167449
2022-05-05,222591.4763419407
2022-05-06,219394.8506230236
2022-05-09,217199.24924411115
2022-05-12,215688.00448818674
2022-05-13,216554.71805778827
2022-05-16,217095.21559311316
2022-05-17,218844.15757538244
2022-05-18,217440.28009487025
2022-05-19,214733.28875840383
2022-05-20,217764.3460093804
2022-05-24,216555.9739903738
2022-05-25,214037.10480617714
2022-05-26,214439.05579709736
2022-05-30,216593.8687942307
2022-06-01,218417.92824677704
2022-06-02,218417.92824677704
2022-06-03,218417.92824677704
2022-06-09,218329.64561669758
2022-06-13,215880.78637115192
2022-06-17,215880.78637115192
