ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,rsi_entry,adx_entry,ema_fast_entry,ema_slow_entry,ema_htf_entry,trend_strength_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry
TATACONSUM.NS,2020-07-30,408.7721862792969,2020-08-05,447.3501435914757,6,68,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=98.7% (>= 70%); VOLAR rank 1/1 (VOLAR=1.77); MVO weight=100.0% of capped cash (25% of available),indicator_exit,2623.301097228162,135.3634343384993,2487.9376628896625,9.437520116845754,46.37125050679152,32.92902118776707,398.56724136009194,376.4039112248109,328.48633967924786,0.05386431257695959,411.4659423828125,416.9014587402344,1.7653150125099437,1.0,27811.05315017261
LINDEINDIA.NS,2020-08-06,627.7720336914062,2020-08-11,696.8133028455688,5,59,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=83.2% (>= 70%); VOLAR rank 1/1 (VOLAR=0.78); MVO weight=100.0% of capped cash (25% of available),target,4073.434880095593,157.4296162606621,3916.005263834931,10.997824918734933,42.27391239277529,33.351329682582,627.3553683528231,601.1202590189532,574.6018865604925,0.04154281120028311,631.5198364257812,759.0891723632812,0.7750645670391982,1.0,37320.08636118794
JWL.NS,2020-08-07,12.757455825805664,2020-08-12,12.63831931658489,5,2198,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=78.7% (>= 70%); VOLAR rank 1/1 (VOLAR=0.25); MVO weight=100.0% of capped cash (25% of available),stop,-261.8620472672596,132.9140466429604,-394.77609391021997,-0.9338579011952008,42.47787535391017,25.06121380798153,12.585081729957627,12.46363466215577,12.86525580233236,0.009197599108758081,13.204214096069336,16.778287887573242,0.24799695023148796,1.0,28043.553915118
SCI.NS,2020-08-11,56.14105987548828,2020-08-12,55.62939383289955,1,657,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=88.8% (>= 70%); VOLAR rank 1/2 (VOLAR=1.68); MVO weight=100.0% of capped cash (25% of available),stop,-336.1645899807949,152.51273137070046,-488.6773213514954,-0.9113936283417501,46.1352469091622,32.68527493421699,54.025055935760065,52.29218390639657,47.39309212656805,0.030054791580769673,57.65709686279297,64.90569305419922,1.6775258567554054,1.0,36935.417910543634
BPCL.NS,2020-08-12,149.73411560058594,2020-08-17,145.01277380989762,5,292,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=83.1% (>= 70%); VOLAR rank 1/1 (VOLAR=0.87); MVO weight=100.0% of capped cash (25% of available),stop,-1378.6318028809876,166.6438341975911,-1545.2756370785787,-3.153150350373346,41.23925360176973,26.213086136952608,149.65810229851976,142.15362405485223,137.7918452261543,0.04924882936369369,152.37881469726562,183.29087829589844,0.8741344025794862,1.0,43739.00051264439
IOB.NS,2020-08-13,10.5,2020-08-20,11.769999790191651,7,3122,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=81.3% (>= 70%); VOLAR rank 1/1 (VOLAR=0.32); MVO weight=100.0% of capped cash (25% of available),target,3964.9393449783347,147.8448140381166,3817.094530940218,12.095236097063333,45.161260551200435,26.019683579398794,10.444288296978483,10.226901038617147,9.882190912644209,0.020411949873040118,10.649999618530273,13.100000381469727,0.32451818569912183,1.0,32789.531025130986
LALPATHLAB.NS,2020-08-14,1795.78271484375,2020-08-31,1727.194316425572,17,13,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=93.7% (>= 70%); VOLAR rank 1/1 (VOLAR=1.26); MVO weight=100.0% of capped cash (25% of available),stop,-891.6491794363144,121.81362392525807,-1013.4628033615725,-3.819415224973133,37.705151915918236,34.19660789527363,1801.0125671251724,1713.6108592247915,1522.9757105097444,0.04888968005226591,1787.7332763671875,1908.5220947265625,1.2564805695164023,1.0,24578.649936109483
MOTILALOFS.NS,2020-08-17,655.3407592773438,2020-08-31,716.2641657897535,14,44,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=75.0% (>= 70%); VOLAR rank 1/1 (VOLAR=0.57); MVO weight=100.0% of capped cash (25% of available),target,2680.62988654603,137.7333408825734,2542.8965456634564,9.296447023925559,36.58860514905989,25.695665516253076,650.2673357344419,624.1618866815435,619.8813923607358,0.040223821283085805,649.0046997070312,865.0966186523438,0.5742271450432479,1.0,29292.676640807567
IRB.NS,2020-08-20,12.997626304626465,2020-08-21,12.73796797119246,1,2403,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=100.0% (>= 70%); VOLAR rank 1/1 (VOLAR=1.02); MVO weight=100.0% of capped cash (25% of available),indicator_exit,-623.9589752419157,139.640912977969,-763.5998882198847,-1.9977365662650404,64.94459073715726,36.649683316273176,11.960049672517975,10.494174057234934,8.766221105069311,0.11428802057543291,12.826152801513672,12.826152801513672,1.0177105715888872,1.0,31234.623299467625
GMRAIRPORT.NS,2020-08-21,21.892562866210938,2020-08-24,22.29798030853272,3,1418,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=86.9% (>= 70%); VOLAR rank 1/1 (VOLAR=1.56); MVO weight=100.0% of capped cash (25% of available),target,574.8819332122853,140.46268023086571,434.41925298141956,1.8518500771214086,55.42169412254444,32.38240652978625,19.26791957617729,18.73534757345196,17.731315877974126,0.02662778498133463,20.000612258911133,23.018722534179688,1.5635890274542192,1.0,31043.723327412656
