ticker,date,pattern,direction,open,high,low,close,rsi14,macd,macd_signal,macd_hist,sto_k,sto_d,adx,di_plus,di_minus,aroon_up,aroon_dn,aroon_osc,bb_upper,bb_mid,bb_lower,bb_width,pct_b,bb_squeeze,atr14,vol,vol20,obv,obv_slope,eom14,sma50,sma200,confirmations_met,num_conf,entry_suggest,stop_suggest,risk_per_share,size_for_1pct,note
APARINDS.NS,2022-01-25,CDLENGULFING,bullish,781.0,839.0,770.0,822.75,62.56,17.4634,16.3536,1.1098,61.22,60.83,26.71,20.68,13.45,84.0,0.0,84.0,818.3584,781.59,744.8216,0.094086,1.0597,True,35.5222,152932,89387,16914298,152932,0.000945,739.664,630.3057,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,841.517,727.3733,114.1437,8,Buy on breakout > pattern High (+buffer)
BAJFINANCE.NS,2022-02-24,CDLEVENINGSTAR,bearish,680.0,690.02,659.245,662.78,35.83,-8.8986,-7.0475,-1.8511,38.43,47.07,23.84,15.79,37.85,0.0,100.0,-100.0,729.2991,702.2468,675.1944,0.077045,-0.2295,True,22.5462,19300400,11567955,4067894430,-19300400,-4e-06,715.903,686.6113,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,657.2673,717.0755,59.8082,16,Sell on breakdown < pattern Low (−buffer)
RBLBANK.NS,2022-04-19,CDLENGULFING,bearish,131.5,131.6,123.1,124.6,38.27,-1.5857,-0.8797,-0.706,18.56,24.56,22.37,15.73,32.16,68.0,100.0,-32.0,142.0871,133.1775,124.2679,0.133801,0.0186,True,5.5621,24912957,14657713,854261486,-24912957,-0.0,135.388,170.667,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,122.7307,138.2745,15.5438,64,Sell on breakdown < pattern Low (−buffer)
COCHINSHIP.NS,2022-08-08,CDLDOJI,bullish,170.75,173.0,169.0,170.6,70.81,2.7738,2.1142,0.6596,75.79,75.64,26.98,24.7,7.84,100.0,0.0,100.0,170.7296,163.8612,156.9929,0.083831,0.9906,True,3.5449,463206,248251,104520204,463206,4e-06,159.998,164.8116,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,173.519,164.7461,8.7729,113,Buy on breakout > pattern High (+buffer)
HUDCO.NS,2022-08-16,CDLDOJI,bullish,38.0,38.65,37.9,38.05,68.7,0.5865,0.5363,0.0502,72.95,63.33,26.3,34.98,14.05,100.0,0.0,100.0,38.1026,36.67,35.2374,0.078136,0.9816,True,0.7022,1750700,856246,360956258,1750700,0.0,35.572,37.2762,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,38.766,37.0574,1.7086,585,Buy on breakout > pattern High (+buffer)
GODREJCP.NS,2022-08-25,CDLDOJI,bullish,907.5,926.75,901.65,907.4,61.66,16.1246,15.0992,1.0254,62.35,58.23,28.0,34.36,13.48,72.0,24.0,48.0,917.8884,876.24,834.5916,0.095062,0.8741,True,24.9904,2609633,1622241,134114512,2609633,1.1e-05,842.432,836.8227,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,929.5302,871.6615,57.8687,17,Buy on breakout > pattern High (+buffer)
BIOCON.NS,2022-09-02,CDLENGULFING,bearish,302.5,304.45,294.1,295.6,33.95,-4.4357,-3.5709,-0.8648,26.18,30.59,20.99,14.57,32.92,0.0,100.0,-100.0,320.5581,309.5425,298.5269,0.071174,-0.1329,True,6.7551,2893357,1628801,441894718,-2893357,-3e-06,316.123,345.64,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,293.2177,312.5561,19.3384,51,Sell on breakdown < pattern Low (−buffer)
FLUOROCHEM.NS,2022-09-19,CDLENGULFING,bullish,3533.0,3735.1499,3521.0,3661.45,62.09,72.3087,56.4266,15.8821,82.14,79.51,20.17,30.37,15.71,100.0,44.0,56.0,3659.7496,3439.0525,3218.3554,0.128348,1.0039,True,136.0232,262834,173571,23857450,262834,0.022959,3355.71,2850.743,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,3746.3554,3357.7722,388.5832,2,Buy on breakout > pattern High (+buffer)
HONAUT.NS,2022-12-12,CDLENGULFING,bullish,41500.0508,43798.6016,41250.0508,43391.3984,64.97,618.1251,554.6279,63.4973,57.5,43.93,23.74,29.45,12.92,100.0,12.0,88.0,43226.2308,41363.9174,39501.6039,0.090045,1.0443,True,1249.0889,20622,6433,105851,20622,5.795016,40035.0618,38628.8902,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,43929.9974,39751.1441,4178.8533,0,Buy on breakout > pattern High (+buffer)
ASTRAZEN.NS,2022-12-21,CDLMORNINGSTAR,bullish,3390.1499,3518.0,3373.3,3474.1001,64.07,28.0894,23.9276,4.1618,70.19,68.24,21.78,31.32,12.51,100.0,16.0,84.0,3446.291,3365.925,3285.559,0.047753,1.173,True,75.7156,27030,7696,10294370,27030,0.03625,3301.101,2987.4238,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,3528.554,3282.4413,246.1127,4,Buy on breakout > pattern High (+buffer)
