trade_id,ticker,side,datetime,price,shares,reason,pnl_inr,pnl_pct
TCS.NS-00006,TCS.NS,BUY,2017-02-10,1049.306251,47,entry_bb_breakout,,
TCS.NS-00006,TCS.NS,SELL,2017-02-27,1088.431464,47,exit_max_hold,1788.64817,3.62681
TCS.NS-00007,TCS.NS,BUY,2017-05-25,1148.484844,43,entry_bb_breakout,,
TCS.NS-00007,TCS.NS,SELL,2017-05-31,1113.239489,43,exit_atr_stop,-1564.177364,-3.167322
TCS.NS-00008,TCS.NS,BUY,2017-07-24,1122.931669,44,entry_bb_breakout,,
TCS.NS-00008,TCS.NS,SELL,2017-08-07,1109.729892,44,exit_max_hold,-629.996741,-1.275065
TCS.NS-00009,TCS.NS,BUY,2017-10-12,1130.697146,44,entry_bb_breakout,,
TCS.NS-00009,TCS.NS,SELL,2017-10-27,1148.687942,44,exit_max_hold,741.448545,1.490329
TCS.NS-00010,TCS.NS,BUY,2017-11-13,1227.544618,40,entry_bb_breakout,,
TCS.NS-00010,TCS.NS,SELL,2017-11-21,1188.091448,40,exit_atr_stop,-1626.439513,-3.312384
TCS.NS-00011,TCS.NS,BUY,2018-01-10,1248.745154,40,entry_bb_breakout,,
TCS.NS-00011,TCS.NS,SELL,2018-01-24,1414.414265,40,exit_max_hold,6573.50125,13.160214
TCS.NS-00012,TCS.NS,BUY,2018-04-20,1517.447065,32,entry_bb_breakout,,
TCS.NS-00012,TCS.NS,SELL,2018-05-07,1524.173201,32,exit_max_hold,166.570429,0.343032
TCS.NS-00013,TCS.NS,BUY,2018-06-13,1640.58734,30,entry_bb_breakout,,
TCS.NS-00013,TCS.NS,SELL,2018-06-27,1669.4067,30,exit_max_hold,814.930907,1.655771
TCS.NS-00014,TCS.NS,BUY,2018-07-11,1780.713398,28,entry_bb_breakout,,
TCS.NS-00014,TCS.NS,SELL,2018-07-25,1783.958405,28,exit_max_hold,40.954779,0.08214
TCS.NS-00015,TCS.NS,BUY,2018-08-28,1864.779336,26,entry_bb_breakout,,
TCS.NS-00015,TCS.NS,SELL,2018-09-11,1842.253461,26,exit_mean_reversion,-633.864164,-1.307361
TCS.NS-00016,TCS.NS,BUY,2018-09-24,1981.260521,25,entry_bb_breakout,,
TCS.NS-00016,TCS.NS,SELL,2018-10-04,1858.953725,25,exit_mean_reversion,-3105.672572,-6.270094
TCS.NS-00017,TCS.NS,BUY,2018-11-28,1791.672122,27,entry_bb_breakout,,
TCS.NS-00017,TCS.NS,SELL,2018-12-12,1819.564128,27,exit_max_hold,704.33248,1.45598
TCS.NS-00018,TCS.NS,BUY,2019-04-15,1912.625146,26,entry_bb_breakout,,
TCS.NS-00018,TCS.NS,SELL,2019-05-03,1927.620668,26,exit_max_hold,339.960384,0.683636
TCS.NS-00019,TCS.NS,BUY,2019-10-29,2012.099663,24,entry_bb_breakout,,
TCS.NS-00019,TCS.NS,SELL,2019-11-11,1924.092404,24,exit_mean_reversion,-2159.408523,-4.471715
TCS.NS-00020,TCS.NS,BUY,2020-04-30,1864.437246,26,entry_bb_breakout,,
TCS.NS-00020,TCS.NS,SELL,2020-05-15,1750.188067,26,exit_atr_stop,-3017.468785,-6.224746
TCS.NS-00021,TCS.NS,BUY,2020-06-04,1941.486738,25,entry_bb_breakout,,
TCS.NS-00021,TCS.NS,SELL,2020-06-18,1889.979952,25,exit_max_hold,-1335.562969,-2.751629
TCS.NS-00022,TCS.NS,BUY,2020-07-02,2002.379351,24,entry_bb_breakout,,
TCS.NS-00022,TCS.NS,SELL,2020-07-16,2076.987598,24,exit_max_hold,1741.645515,3.624117
TCS.NS-00023,TCS.NS,BUY,2020-09-07,2164.935198,23,entry_bb_breakout,,
TCS.NS-00023,TCS.NS,SELL,2020-09-21,2291.261267,23,exit_max_hold,2854.253324,5.732179
TCS.NS-00024,TCS.NS,BUY,2020-12-08,2613.520218,19,entry_bb_breakout,,
TCS.NS-00024,TCS.NS,SELL,2020-12-22,2681.097257,19,exit_max_hold,1233.664874,2.484378
TCS.NS-00025,TCS.NS,BUY,2021-01-04,2839.761701,17,entry_bb_breakout,,
TCS.NS-00025,TCS.NS,SELL,2021-01-18,3012.798267,17,exit_max_hold,2891.874873,5.990301
TCS.NS-00026,TCS.NS,BUY,2021-06-11,3079.525321,16,entry_bb_breakout,,
TCS.NS-00026,TCS.NS,SELL,2021-06-25,3176.997865,16,exit_max_hold,1509.508508,3.063598
