trade_id,ticker,entry_time,entry_price,exit_time,exit_price,shares,days_held,exit_reason,fees_inr,gross_pnl_inr,net_pnl_inr,net_pnl_pct
HDFCBANK.NS-00008,HDFCBANK.NS,2016-12-29,272.773831,2017-01-04,268.04697,183,4,exit_mean_reversion,49.485103,-865.015509,-914.500612,-1.83202
HDFCBANK.NS-00009,HDFCBANK.NS,2017-01-10,274.844782,2017-01-24,286.598816,181,10,exit_max_hold,50.810646,2127.480283,2076.669638,4.17447
HDFCBANK.NS-00010,HDFCBANK.NS,2017-01-25,292.102521,2017-02-09,293.404646,171,10,exit_max_hold,50.060863,222.663404,172.602541,0.345554
HDFCBANK.NS-00011,HDFCBANK.NS,2017-03-30,331.846199,2017-04-03,324.053041,150,2,exit_atr_stop,49.192443,-1168.973657,-1218.1661,-2.44725
HDFCBANK.NS-00012,HDFCBANK.NS,2017-04-21,338.726652,2017-05-08,347.025345,147,10,exit_max_hold,50.402772,1219.907854,1169.505083,2.348743
HDFCBANK.NS-00013,HDFCBANK.NS,2017-07-24,395.315937,2017-08-07,407.086486,126,10,exit_max_hold,50.551353,1483.089133,1432.537781,2.876015
HDFCBANK.NS-00014,HDFCBANK.NS,2018-01-18,440.700709,2018-02-02,443.37842,113,10,exit_max_hold,49.950471,302.581301,252.630831,0.507299
HDFCBANK.NS-00015,HDFCBANK.NS,2018-05-11,458.346429,2018-05-23,447.816751,109,8,exit_mean_reversion,49.385893,-1147.734923,-1197.120816,-2.39617
HDFCBANK.NS-00016,HDFCBANK.NS,2018-05-31,490.554298,2018-06-04,468.704068,101,2,exit_atr_stop,48.442547,-2206.87316,-2255.315708,-4.551965
HDFCBANK.NS-00017,HDFCBANK.NS,2018-11-26,469.998432,2018-12-10,478.450566,106,10,exit_max_hold,50.267797,895.926241,845.658445,1.697433
HDFCBANK.NS-00018,HDFCBANK.NS,2019-03-12,497.788412,2019-03-27,526.713623,100,10,exit_max_hold,51.225102,2892.521111,2841.296009,5.707839
HDFCBANK.NS-00019,HDFCBANK.NS,2019-05-02,540.161181,2019-05-09,524.755191,92,5,exit_mean_reversion,48.986153,-1417.351045,-1466.337199,-2.950684
HDFCBANK.NS-00020,HDFCBANK.NS,2019-05-20,557.713349,2019-05-23,534.192548,89,3,exit_atr_stop,48.589812,-2093.351264,-2141.941076,-4.315255
HDFCBANK.NS-00021,HDFCBANK.NS,2019-09-20,556.993507,2019-10-07,550.545878,89,10,exit_max_hold,49.285503,-573.838899,-623.124402,-1.256998
HDFCBANK.NS-00022,HDFCBANK.NS,2019-12-18,600.058791,2020-01-02,596.861515,83,10,exit_max_hold,49.672193,-265.37386,-315.046053,-0.632561
HDFCBANK.NS-00023,HDFCBANK.NS,2021-01-12,687.652004,2021-01-22,669.593442,72,8,exit_mean_reversion,48.860836,-1300.21648,-1349.077316,-2.724806
HDFCBANK.NS-00024,HDFCBANK.NS,2021-02-02,724.58837,2021-02-16,754.52471,69,10,exit_max_hold,51.029401,2065.607399,2014.577997,4.02943
HDFCBANK.NS-00025,HDFCBANK.NS,2021-05-18,685.655462,2021-06-01,701.205008,72,10,exit_max_hold,49.926977,1119.56736,1069.640383,2.166703
HDFCBANK.NS-00026,HDFCBANK.NS,2021-07-06,715.669851,2021-07-12,692.73305,69,4,exit_mean_reversion,48.5899,-1582.63926,-1631.22916,-3.303339
HDFCBANK.NS-00027,HDFCBANK.NS,2021-10-14,786.877739,2021-10-28,742.393693,63,9,exit_mean_reversion,48.17205,-2802.494909,-2850.666959,-5.750408
HDFCBANK.NS-00028,HDFCBANK.NS,2022-01-05,729.729612,2022-01-17,708.80521,68,8,exit_atr_stop,48.910184,-1422.859303,-1471.769487,-2.965985
HDFCBANK.NS-00029,HDFCBANK.NS,2022-04-04,772.608218,2022-04-06,722.478241,64,2,exit_atr_stop,47.842767,-3208.318539,-3256.161306,-6.585164
HDFCBANK.NS-00030,HDFCBANK.NS,2022-05-26,652.321909,2022-06-09,656.914909,76,10,exit_max_hold,49.750999,349.067993,299.316994,0.603748
HDFCBANK.NS-00031,HDFCBANK.NS,2022-07-29,684.539486,2022-08-16,716.255219,73,10,exit_max_hold,51.129007,2315.248453,2264.119447,4.530832
HDFCBANK.NS-00032,HDFCBANK.NS,2022-09-14,729.620243,2022-09-22,708.554603,68,6,exit_mean_reversion,48.897945,-1432.463517,-1481.361462,-2.985762
HDFCBANK.NS-00033,HDFCBANK.NS,2022-10-31,714.370618,2022-11-15,771.971731,69,10,exit_max_hold,51.278811,3974.476835,3923.198024,7.959166
HDFCBANK.NS-00034,HDFCBANK.NS,2023-01-23,798.56577,2023-01-27,770.445883,62,3,exit_mean_reversion,48.639361,-1743.433005,-1792.072366,-3.619538
HDFCBANK.NS-00035,HDFCBANK.NS,2023-04-05,789.330137,2023-04-21,798.482883,63,10,exit_max_hold,50.01611,576.623015,526.606905,1.058979
HDFCBANK.NS-00036,HDFCBANK.NS,2023-06-27,800.723526,2023-07-12,787.552438,62,10,exit_mean_reversion,49.236555,-816.607457,-865.844012,-1.744076
HDFCBANK.NS-00037,HDFCBANK.NS,2023-09-15,802.244244,2023-09-18,785.671604,62,1,exit_atr_stop,49.225391,-1027.503711,-1076.729102,-2.164752
HDFCBANK.NS-00038,HDFCBANK.NS,2023-11-29,752.711983,2023-12-13,786.563797,66,10,exit_max_hold,50.796101,2234.219685,2183.423585,4.395064
HDFCBANK.NS-00039,HDFCBANK.NS,2024-06-03,769.376745,2024-06-04,725.073561,64,1,exit_mean_reversion,47.82241,-2835.403744,-2883.226154,-5.855442
HDFCBANK.NS-00040,HDFCBANK.NS,2024-06-19,811.290697,2024-07-03,864.647111,61,10,exit_max_hold,51.116103,3254.741286,3203.625183,6.473444
HDFCBANK.NS-00041,HDFCBANK.NS,2025-06-06,968.302879,2025-06-13,937.464871,51,5,exit_mean_reversion,48.597078,-1572.73842,-1621.335498,-3.283156
HDFCBANK.NS-00042,HDFCBANK.NS,2025-06-26,989.394474,2025-07-10,1002.598426,50,10,exit_max_hold,49.799823,660.197559,610.397736,1.233881
INFY.NS-00001,INFY.NS,2015-07-21,435.72691,2015-07-27,416.767129,114,4,exit_atr_stop,48.59216,-2161.415057,-2210.007217,-4.449123
INFY.NS-00002,INFY.NS,2015-09-30,455.033433,2015-10-12,439.301449,109,7,exit_mean_reversion,48.741251,-1714.786275,-1763.527526,-3.555596
INFY.NS-00003,INFY.NS,2016-01-14,447.776694,2016-01-29,459.923915,111,10,exit_max_hold,50.377384,1348.341505,1297.964121,2.611429
INFY.NS-00004,INFY.NS,2017-02-16,408.992724,2017-03-03,416.294526,122,10,exit_max_hold,50.342522,890.819779,840.477257,1.684421
INFY.NS-00005,INFY.NS,2017-05-25,397.354553,2017-06-08,392.036397,125,10,exit_mean_reversion,49.336934,-664.76952,-714.106454,-1.437721
INFY.NS-00006,INFY.NS,2017-08-17,418.851838,2017-08-18,378.428153,119,1,exit_mean_reversion,47.43816,-4810.418506,-4857.856665,-9.746245
INFY.NS-00007,INFY.NS,2017-11-16,411.19979,2017-11-20,399.21402,121,2,exit_atr_stop,49.030036,-1450.27822,-1499.308256,-3.013372
INFY.NS-00008,INFY.NS,2017-11-23,412.385441,2017-12-01,398.486723,121,6,exit_mean_reversion,49.057766,-1681.74498,-1730.802746,-3.468637
INFY.NS-00009,INFY.NS,2017-12-22,432.396266,2018-01-04,422.010233,115,8,exit_mean_reversion,49.128374,-1194.393743,-1243.522117,-2.50077
INFY.NS-00010,INFY.NS,2018-01-11,447.560399,2018-01-25,488.507913,111,10,exit_max_hold,51.951791,4545.173982,4493.222191,9.044473
INFY.NS-00011,INFY.NS,2018-04-23,494.113633,2018-05-08,484.414074,101,10,exit_max_hold,49.415649,-979.655376,-1029.071026,-2.06204
INFY.NS-00012,INFY.NS,2018-06-15,541.744614,2018-06-19,524.454927,92,2,exit_atr_stop,49.045179,-1590.651239,-1639.696418,-3.289887
INFY.NS-00013,INFY.NS,2018-06-29,552.716894,2018-07-13,556.472967,90,10,exit_max_hold,49.913544,338.046564,288.133021,0.579226
INFY.NS-00014,INFY.NS,2018-08-16,604.449779,2018-08-20,584.710611,82,2,exit_atr_stop,48.755576,-1618.611751,-1667.367327,-3.364009
INFY.NS-00015,INFY.NS,2018-09-04,623.371039,2018-09-19,608.048302,80,10,exit_max_hold,49.256774,-1225.818979,-1275.075753,-2.556815
INFY.NS-00016,INFY.NS,2019-07-15,675.645882,2019-07-29,685.450133,74,10,exit_max_hold,50.360553,725.51462,675.154067,1.350368
INFY.NS-00017,INFY.NS,2019-09-05,723.067286,2019-09-20,697.18523,69,10,exit_mean_reversion,48.998712,-1785.861864,-1834.860576,-3.677691
INFY.NS-00018,INFY.NS,2019-12-17,640.565484,2020-01-01,646.195417,78,10,exit_max_hold,50.183675,439.134806,388.951131,0.778461
INFY.NS-00019,INFY.NS,2020-01-13,679.059086,2020-01-27,682.370497,73,10,exit_max_hold,49.69218,241.732979,192.040799,0.387403
INFY.NS-00020,INFY.NS,2020-06-26,665.746342,2020-07-10,694.992479,75,10,exit_max_hold,51.027706,2193.460258,2142.432553,4.290788
INFY.NS-00021,INFY.NS,2020-07-15,739.377011,2020-07-29,848.151274,67,10,exit_max_hold,53.182198,7287.875599,7234.693401,14.604254
