Symbol,Latest_Date,Latest_Deliverable_Qty,Avg_Deliverable_Qty,Delivery_Ratio,Delivery_Z,Delivery_RobustZ,Delivery_Pctile,Latest_Close,Latest_VWAP_N,CloseAboveVWAP,CloseVWAPDiffPct,Anomaly
ACC,2025-08-01,157636.0,270252.5714285714,0.5832913972537859,-0.4991381440962046,-0.4921420953490812,0.3333333333333333,1794.6,1895.8463550566971,False,-5.340430398626339,False
CONCOR,2025-08-01,587615.0,551207.1428571428,1.0660511345229302,0.11389774902884207,0.22009452862062764,0.6190476190476191,573.6,606.4000073756993,False,-5.408972126772715,False
NATIONALUM,2025-08-01,2013191.0,2552593.9523809524,0.7886843883345331,-0.4448412047994693,-0.5768164497007596,0.2857142857142857,180.7,191.20455475478562,False,-5.493883118138799,False
WHIRLPOOL,2025-08-01,19305.0,163185.95238095237,0.11830062403247246,-1.2349436942910315,-1.465496836816546,0.047619047619047616,1315.6,1392.2310702777513,False,-5.504191934350633,False
KEC,2025-08-01,274965.0,188508.19047619047,1.4586368863093482,1.4320008042706809,1.725548654451144,0.9047619047619048,823.9,872.2466887889971,False,-5.542776993068355,False
IFCI,2025-08-01,1722405.0,2245481.285714286,0.7670538209148798,-0.3995744670785816,-0.4667347975587466,0.3333333333333333,57.96,61.38969998509958,False,-5.586767789925728,False
ANGELONE,2025-08-01,84174.0,253599.85714285713,0.3319165907596839,-0.7757690393114252,-1.4080602950937997,0.0,2569.8,2727.7941783179535,False,-5.792012446312123,False
BHARATFORG,2025-08-01,254471.0,405906.04761904763,0.6269209377211029,-0.841843717235497,-0.5914953331040754,0.3333333333333333,1146.1,1218.0037570591699,False,-5.9034101202429135,False
BLUESTARCO,2025-08-01,75167.0,333137.1904761905,0.22563376935656854,-1.0903898530493012,-1.42006654525119,0.047619047619047616,1697.0,1806.1098899580395,False,-6.041154559016027,False
PREMIERENE,2025-08-01,359941.0,470711.5238095238,0.7646742894394323,-0.4143436596695631,-0.26083172365106555,0.47619047619047616,1010.3,1077.1742391456023,False,-6.208302864599324,False
TORNTPOWER,2025-08-01,112469.0,156878.90476190476,0.7169160198478839,-0.4944277728983707,-0.4466222596534211,0.2857142857142857,1288.2,1373.4900202221302,False,-6.2097298827359815,False
PRESTIGE,2025-08-01,303804.0,475121.7619047619,0.6394234580669397,-0.6058250908201955,-0.42273363004832,0.2857142857142857,1596.5,1702.6643889510315,False,-6.235191717167277,False
YESBANK,2025-08-01,28543425.0,29284092.57142857,0.974707511608155,-0.06959047303511535,0.4084160293001197,0.6666666666666666,18.6,19.848805355962746,False,-6.291589511645812,False
INDUSINDBK,2025-08-01,2102288.0,1605913.5714285714,1.3090916207463577,0.3072629537257076,1.9679418940583078,0.8095238095238095,783.7,836.4468731782911,False,-6.306063764440406,False
GESHIP,2025-08-01,130994.0,181337.0,0.7223787754291733,-0.43396007944135684,-0.28504446556291957,0.42857142857142855,929.25,992.1887436281363,False,-6.343424477684378,False
OLAELEC,2025-08-01,12524611.0,26240339.80952381,0.47730368931633466,-0.528972753703151,-0.2834163628061797,0.38095238095238093,40.55,43.329607652775735,False,-6.4150307453745725,False
ITCHOTELS,2025-08-01,1983740.0,2408660.8571428573,0.8235862654209873,-0.23620851618678812,0.2698345797959494,0.6190476190476191,224.22,239.5935707104618,False,-6.416520553900873,False
