entry_time,exit_time,side,entry_price,exit_price,reason,bars,gross_ret_pct,pnl,equity_after,ticker
2024-01-11,2024-01-17,LONG,363.3726477905273,354.82901389770507,DeathCross,3,-2.351204457674916,-3165.7405691169074,128738.53057884451,SAREGAMA.NS
2025-05-07,2025-06-05,LONG,520.104,572.8854,TP_hit,20,10.148239582852646,12966.25445309999,141431.9424531,SAREGAMA.NS
2020-02-05,2020-03-02,LONG,923.2245860229492,870.0259722045898,SL_hit,16,-5.762261385122702,-5792.431694881861,93915.82359559665,SCHAEFFLER.NS
2020-12-03,2021-02-26,LONG,793.5587044189452,1029.794,MaxHold,58,29.76910142445348,27815.007032564474,121454.93415400002,SCHAEFFLER.NS
2023-06-16,2023-09-11,LONG,3055.611,3661.867577636719,MaxHold,58,19.840764339332438,23572.60011006813,142741.42911006813,SCHAEFFLER.NS
2024-01-03,2024-02-12,LONG,3185.6369999999997,3020.4458388183593,SL_hit,25,-5.185498573178315,-7334.8609004461805,132833.16709955383,SCHAEFFLER.NS
2024-04-29,2024-07-25,LONG,3353.6706,4129.174,MaxHold,58,23.12401820262253,30164.113707,160957.267107,SCHAEFFLER.NS
2025-05-28,2025-08-20,LONG,4000.7999999999997,3956.7085,MaxHold,58,-1.1020670865826698,-1842.7941699999817,158189.20583,SCHAEFFLER.NS
2020-02-04,2020-02-07,LONG,76.31526305236817,101.9796,TP_hit,2,33.629363145902744,33527.87141625008,133424.55075179998,SCHNEIDER.NS
2020-05-08,2020-05-18,LONG,77.86556847381591,84.983,TP_hit,5,9.140665978156303,12112.297324827165,145418.150552,SCHNEIDER.NS
2020-12-04,2020-12-23,LONG,91.06821305236816,82.88342152557374,ATR_trail,12,-8.987539397624744,-13129.068247141315,132215.79978443828,SCHNEIDER.NS
2021-11-10,2021-11-24,LONG,121.22423694763184,112.17755694885254,DeathCross,8,-7.462765059669884,-9922.017967206557,122212.40030571214,SCHNEIDER.NS
2022-04-08,2022-04-25,LONG,125.67513152618407,145.9708,TP_hit,8,16.149311504470056,19636.22526467526,141666.7779766,SCHNEIDER.NS
2022-08-19,2022-09-01,LONG,123.67473152618408,135.9728,TP_hit,7,9.943881277973276,13991.213892445425,155475.1067584,SCHNEIDER.NS
2023-05-08,2023-05-25,LONG,177.98558694763184,214.75704305114746,TP_hit,12,20.659794275552645,32007.739729077308,187389.1571343599,SCHNEIDER.NS
2024-12-24,2025-01-07,LONG,781.1562,749.85,DeathCross,8,-4.0076747774644765,-7571.7888749999975,179124.542925,SCHNEIDER.NS
2025-06-17,2025-07-16,LONG,774.9549477905273,870.1259277954101,TP_hit,20,12.280840360620271,21883.996836467562,200898.58977607937,SCHNEIDER.NS
2019-10-11,2019-12-26,LONG,43.5087,62.38752152557373,MaxHold,50,43.390911531656286,43293.00097577075,143232.48487577075,SCI.NS
2020-07-15,2020-07-31,LONG,59.56190923690796,54.53908923721313,SL_hit,11,-8.43293988397269,-12135.365174985176,130991.90272130465,SCI.NS
2020-12-07,2021-02-18,LONG,65.013,90.9818,MaxHold,50,39.94401119776045,52183.6212183,183054.7902183,SCI.NS
2021-10-06,2021-12-21,LONG,129.27585,133.87321389770509,MaxHold,50,3.556243411050941,6410.554616420081,189335.88236642006,SCI.NS
2022-09-21,2022-09-27,LONG,119.77395,112.82742847442627,SL_hit,3,-5.799693109873838,-11057.634743661478,178065.4323063385,SCI.NS
2023-09-06,2023-09-14,LONG,148.77975,142.77144305114746,SL_hit,5,-4.038390270754288,-7271.312433772236,170669.26856622778,SCI.NS
2025-06-19,2025-08-07,LONG,220.92418088378906,207.44850749206543,SL_hit,34,-6.0996824058893395,-10483.294982302581,160070.17265998258,SCI.NS
2020-01-16,2020-02-04,LONG,23754.75,23395.32,SL_hit,12,-1.5130868563129507,-1484.510640000001,93534.48935999999,SHREECEM.NS
2022-11-24,2023-01-23,LONG,23364.621208593748,24445.05922890625,TP_hit,41,4.624247963048966,4272.861962792203,97731.34679716719,SHREECEM.NS
2023-11-06,2023-12-05,LONG,26031.2052,27744.350410546875,TP_hit,18,6.5811213786862055,5097.819106024803,83191.4347060248,SHREECEM.NS
2025-02-13,2025-03-26,LONG,28305.96084140625,29549.188589453126,TP_hit,26,4.39210580065621,2456.9063075043,59068.8279903168,SHREECEM.NS
2020-07-01,2020-07-06,LONG,11.70233980922699,10.097980381393432,ATR_trail,2,-13.709732019305765,-13745.957298345156,86203.72701226256,RENUKA.NS
2021-05-10,2021-07-02,LONG,12.80256019077301,43.34132847442627,MaxHold,37,238.5364163775851,205349.54988105057,291497.9774047622,RENUKA.NS
2023-09-12,2023-09-14,LONG,55.010999999999996,53.389321525573735,ATR_trail,1,-2.9479167337919,-8729.784123961197,282608.47187603876,RENUKA.NS
2024-07-12,2024-07-19,LONG,50.780154457855225,48.54028923721314,SL_hit,3,-4.41090667122932,-12593.120901579981,269846.0981930108,RENUKA.NS
2019-12-23,2020-02-20,LONG,229.97382675476075,249.579331350708,MaxHold,41,8.52510256171637,8454.630279738003,108263.27109130418,SHRIRAMFIN.NS
2020-12-16,2021-02-16,LONG,220.61412132568358,301.5396861022949,MaxHold,41,36.681951404708244,39579.64951744449,147680.56896702945,SHRIRAMFIN.NS
2022-09-01,2022-11-02,LONG,268.45367389526365,241.55168610229492,MaxHold,41,-10.02109131256086,-14835.497236174911,132545.56973232483,SHRIRAMFIN.NS
2023-06-05,2023-08-03,LONG,284.25685220947264,365.72682779541014,MaxHold,41,28.66069013031256,37879.79427217055,170343.48740178478,SHRIRAMFIN.NS
