entry_time,exit_time,dir,entry,exit,qty,gross,net,brokerage,stt,stamp,exchange,sebi,ipf,gst
2025-07-21 13:20:00+05:30,2025-07-21 13:55:00+05:30,long,420.45001220703125,419.25,1189,-1426.8145141601562,-1526.178527881685,40,0.0,14.997451935424806,29.65257844107056,0.9984033145141601,0.9984033145141601,12.71717671600525
2025-07-23 13:45:00+05:30,2025-07-23 15:00:00+05:30,short,414.75,414.95001220703125,1205,-241.01470947265625,-465.37671716251526,40,124.9434375,15.00044294128418,29.693718886871338,0.9997885147094725,0.9997885147094725,12.724831332284547
2025-07-28 10:20:00+05:30,2025-07-28 11:20:00+05:30,short,410.1000061035156,410.3500061035156,1219,-304.75,-529.1652625394886,40,124.97797686004638,15.006499723205566,29.70381837694702,1.000128564880371,1.000128564880371,12.72671044952893
2025-07-28 12:25:00+05:30,2025-07-28 15:00:00+05:30,short,409.8999938964844,410.0,1219,-121.90744018554688,-346.2239902791322,40,124.91702313995361,14.9937,29.68390534902649,0.9994580925598144,0.9994580925598144,12.723005419485535
2025-07-29 15:10:00+05:30,2025-07-29 15:15:00+05:30,short,408.5,408.5,1223,0.0,-224.282624166,40,124.898875,14.987865000000001,29.6759727,0.9991909999999999,0.9991909999999999,12.721529466
2025-07-30 15:25:00+05:30,2025-07-31 09:20:00+05:30,short,407.6000061035156,408.5,1226,-1103.3925170898438,-1327.79259916273,40,124.92940187072755,15.02463,29.71599664224243,1.0005386074829101,1.0005386074829101,12.72897634495056
2025-07-31 11:35:00+05:30,2025-07-31 12:35:00+05:30,short,411.29998779296875,411.45001220703125,1215,-182.2796630859375,-406.62203249549805,40,124.93237129211425,14.99735294494629,29.689345125000003,0.9996412499999999,0.9996412499999999,12.724017547499999
2025-07-31 14:50:00+05:30,2025-07-31 15:00:00+05:30,short,412.95001220703125,412.1000061035156,1210,1028.5073852539062,804.2676688419513,40,124.91737869262695,14.959230221557618,29.649822508026123,0.9983105221557618,0.9983105221557618,12.716663945432739
2025-08-01 11:05:00+05:30,2025-08-01 12:50:00+05:30,short,417.6499938964844,417.6499938964844,1197,0.0,-224.40014013700625,40,124.98176067352296,14.997811280822754,29.695666336029053,0.9998540853881835,0.9998540853881835,12.7251936758551
2025-08-01 14:15:00+05:30,2025-08-01 15:00:00+05:30,short,417.75,417.25,1196,598.0,373.74570284,40,124.90725,14.970930000000001,29.660201999999998,0.99866,0.99866,12.71859516
2025-08-01 15:00:00+05:30,2025-08-01 15:05:00+05:30,short,417.25,416.6000061035156,1198,778.6926879882812,554.366710176924,40,124.966375,14.972604219360353,29.66888352716675,0.9989523073120117,0.9989523073120117,12.720210450206174
2025-08-04 11:30:00+05:30,2025-08-04 13:00:00+05:30,short,417.8999938964844,418.6499938964844,1196,-897.0,-1121.4183861313695,40,124.95209817504883,15.02116178100586,29.7152594263916,1.0005137854003907,1.0005137854003907,12.728839178122557
2025-08-05 15:00:00+05:30,2025-08-05 15:05:00+05:30,short,414.0,414.1499938964844,1207,-181.04263305664062,-405.3737593246905,40,124.92450000000001,14.996371278991699,29.68743816620178,0.9995770426330566,0.9995770426330566,12.723662737590272
2025-08-05 15:25:00+05:30,2025-08-06 11:45:00+05:30,short,414.0,412.0,1207,2414.0,2189.843328068,40,124.92450000000001,14.918520000000001,29.6103654,0.996982,0.996982,12.709322532000002
2025-08-07 11:40:00+05:30,2025-08-07 12:15:00+05:30,short,412.8500061035156,413.1000061035156,1211,-302.75,-527.1826557215815,40,124.99033934783935,15.007923221740723,29.70669630404663,1.000225464782715,1.000225464782715,12.727245918389281
2025-08-07 14:00:00+05:30,2025-08-07 15:00:00+05:30,short,413.1499938964844,413.75,1210,-726.0073852539062,-950.4508202066693,40,124.97787315368653,15.019125,29.71630508065796,1.000548992614746,1.000548992614746,12.729033733189086
2025-08-08 10:05:00+05:30,2025-08-08 10:25:00+05:30,short,414.04998779296875,414.8999938964844,1207,-1025.9573669433594,-1250.366679405054,40,124.93958381652833,15.0235287789917,29.716116048605347,1.0005426278991698,1.0005426278991698,12.72899856177081
2025-08-08 11:35:00+05:30,2025-08-08 12:25:00+05:30,short,413.95001220703125,414.6000061035156,1207,-784.5426330566406,-1008.8929442599461,40,124.90941618347168,15.0126662210083,29.701778201394653,1.00005987210083,1.00005987210083,12.726330853229188
2025-08-08 14:25:00+05:30,2025-08-08 15:00:00+05:30,short,414.1000061035156,414.45001220703125,1207,-422.4573669433594,-646.8475075259373,40,124.95467684173585,15.007234942016602,29.701778201394653,1.00005987210083,1.00005987210083,12.726330853229188
2025-08-08 15:10:00+05:30,2025-08-08 15:15:00+05:30,short,414.25,414.6499938964844,1207,-482.7926330566406,-707.2510006611905,40,124.9999375,15.0144762789917,29.71432409120178,1.0004822926330565,1.0004822926330565,12.728665149090268
