Date,Close,High,Low,Open,Volume
2021-03-30,28585.2734375,28983.72676059477,27806.49697208602,28001.22754837122,94570
2021-03-31,28949.734375,29140.92834915952,28252.749009050272,28585.275119415168,82764
2021-04-01,29427.771484375,29749.589923293806,28930.087575696067,29052.50661443544,52771
2021-04-05,29826.955078125,30092.37760957888,29131.100049126886,29376.72483874853,124392
2021-04-06,29587.078125,29966.224941740136,29485.143835239163,29843.412544437924,52886
2021-04-07,29701.591796875,30045.51451331009,29428.800492089045,29612.527854691143,40554
2021-04-08,31029.931640625,31487.137302255735,29730.428568592688,29730.428568592688,148094
2021-04-09,31193.123046875,31430.150990811646,30575.376643765503,31127.934605460883,146698
2021-04-12,29358.109375,30946.17162112576,29237.06431853552,30653.975966426253,114698
2021-04-13,29824.796875,30162.628855485807,29583.05216899071,29671.477100747907,91665
2021-04-15,29775.033203125,30355.346769869317,28997.482911622665,30063.494599604997,72414
2021-04-16,30281.70703125,30446.47330564896,29530.14500297878,29907.276953573364,58345
2021-04-19,29531.71484375,29956.695633307314,29040.023894763384,29476.00790760247,52945
2021-04-20,28807.564453125,30119.300712422377,28542.585177933302,29887.62662602771,72618
2021-04-22,28022.794921875,28688.979334583193,27591.87111606967,28688.979334583193,83043
2021-04-23,27614.41796875,28171.54298745683,27437.272595821694,28000.244636121264,70968
2021-04-26,27571.484375,27946.357749168405,27461.887729838494,27754.622627661884,40346
2021-04-27,27606.8046875,27829.290872013113,27475.591146896615,27692.42796080023,31369
2021-04-28,28185.5,28277.313796693987,27613.242102138163,27686.831687253278,33961
2021-04-29,27946.552734375,28541.603801199806,27755.015269214382,28198.761448418372,47589
2021-04-30,27422.044921875,27934.76176430864,27321.486508875674,27844.028343667705,32147
2021-05-03,27500.005859375,27589.1196914543,26849.345740277,27018.728992367003,38741
2021-05-04,27267.59765625,27619.52812587748,27049.187301763795,27619.380367198755,41857
2021-05-05,27356.904296875,27553.601794119542,27228.296682801953,27362.603559987456,24250
2021-05-06,27250.79296875,27457.167688935107,27018.727430181705,27357.689647033076,33337
2021-05-07,27352.77734375,27459.132880655925,27215.227457682293,27359.654838053386,21548
2021-05-10,26832.00390625,27544.51349463135,26761.707238161744,27489.345779432777,49736
2021-05-11,27031.599609375,27098.115959666076,26276.15555567104,26723.97947937726,60904
2021-05-12,26363.6484375,26969.604859991803,26283.820372112958,26935.463010487805,59338
2021-05-14,26246.09375,26535.09631205957,26046.057269957666,26443.96949909131,37370
2021-05-17,26849.986328125,26920.430759919014,26134.922574457596,26280.873612141855,37999
2021-05-18,26993.873046875,27190.668426405944,26773.106219315698,27018.73104701584,51998
2021-05-19,27050.85546875,27750.149287598353,26842.95901788008,26842.95901788008,61909
2021-05-20,27028.8984375,27313.479735147972,26891.05494113823,27215.229808043125,33408
2021-05-21,27139.234375,27485.417615765822,27056.506783481815,27396.10804658747,48242
2021-05-24,26438.416015625,27127.78700355875,26282.83764196154,27127.78700355875,104757
2021-05-25,26568.205078125,26856.422784559323,26429.23131893443,26526.498750182553,51650
2021-05-26,26603.52734375,26722.99887670104,26393.42024896302,26625.731444486864,34953
2021-05-27,27574.873046875,27745.778018900448,26448.97691247902,26704.328843970052,93214
2021-05-28,27171.115234375,27745.779442379346,27058.619067726544,27617.072037742248,50372
2021-05-31,27095.365234375,28015.96706281105,26773.10546945822,27431.37998925774,134138
2021-06-01,27139.724609375,27594.178487233992,26935.119140050236,27215.22929313777,41313
2021-06-02,27405.736328125,27517.83910923066,27071.097465962474,27112.608059448798,38943
2021-06-03,27852.03515625,27902.97735612022,27443.46324660415,27485.4151949811,46984
2021-06-04,27660.939453125,27931.224603821982,27598.402994199867,27804.825695818065,26867
2021-06-07,28645.552734375,28831.29306838459,27716.25427278347,27716.25427278347,89841
2021-06-08,28448.607421875,28687.993732335326,28145.654181657254,28517.038873969414,49167
2021-06-09,27910.197265625,28383.46826467931,27804.922096327067,28315.625929771835,46246
2021-06-10,27731.82421875,28614.30415407003,27628.268428497922,28062.13965281377,54902
2021-06-11,27565.0,28064.650780052616,27490.330054177357,27977.453968318943,38680
2021-06-14,27838.185546875,27888.243119510164,27266.51678399084,27509.980882377473,43225
2021-06-15,27987.373046875,28148.600774327708,27720.526660321415,27804.726070278328,25267
2021-06-16,27730.791015625,28089.648805984772,27640.15547514399,27827.32155060884,15215
2021-06-17,27871.63671875,28295.978530571898,27524.766508303175,27524.766508303175,39467
2021-06-18,27554.978515625,28070.003860175704,27390.90113919345,27871.636875778968,51080
2021-06-21,27731.388671875,28001.232512136037,27233.113724278115,27390.167786347964,18926
2021-06-22,28727.34375,28990.455882091763,27756.584656355735,27756.584656355735,73694
2021-06-23,28362.0,28802.357290653334,28246.65612963892,28743.996454669912,24623
2021-06-24,28170.515625,28585.76742161416,28099.48015758349,28364.75497025998,23493
2021-06-25,28226.3203125,28393.93430962766,28104.39253291404,28197.729966601397,19694
2021-06-28,27893.349609375,28436.81945660578,27854.00166553956,28237.028616692245,21571
2021-06-29,27642.07421875,27969.49208151944,27608.523405777258,27902.927759831127,25900
2021-06-30,27023.24609375,27952.101186200744,26970.5845224041,27342.95170516579,55961
2021-07-01,26586.37890625,27117.174107970084,26474.423888106085,27116.978375704293,67327
2021-07-02,26542.12109375,26802.581278025893,26370.33147253649,26802.581278025893,49970
2021-07-05,26515.29296875,26773.101122614837,26478.35138548513,26714.151175188894,25475
2021-07-06,27283.1171875,27436.289191159885,26527.47746325217,26703.54054609747,93088
2021-07-07,27064.904296875,27622.07918541203,26693.96097231183,27220.139163789954,78838
2021-07-08,27099.099609375,27598.404979591247,26961.449924072454,27205.40526468073,54037
2021-07-09,27021.4296875,27149.154582624124,26753.453032537655,27029.585198381574,45571
2021-07-12,27544.314453125,27921.644028512404,27101.307110682006,27213.753373579322,66083
2021-07-13,27579.1484375,27916.04782763061,27313.480245852275,27657.354997148977,32129
2021-07-14,27917.41796875,27991.40092269035,27372.672079901153,27509.97633679641,38221
2021-07-15,27929.947265625,28079.828292334638,27756.881559573107,27917.42040030914,25188
2021-07-16,27604.447265625,28001.22921227045,27509.979576967457,27929.94812261043,37668
2021-07-19,27506.880859375,27616.183889476673,27330.27663770511,27559.101072825786,24450
2021-07-20,27591.42578125,28055.263246477625,27509.97621787335,27608.12826681085,71764
2021-07-22,27647.650390625,27791.64856974284,27485.190906492055,27716.572596014736,22745
2021-07-23,27555.4921875,27793.02764748939,27426.31112755192,27652.671728749225,28958
2021-07-26,27537.66796875,27793.712779644255,27383.823777293015,27470.418826559366,37460
2021-07-27,27436.109375,28034.599895689036,27324.012713351818,27568.882698672183,46133
2021-07-28,27068.16015625,27565.82883725011,26744.5719572225,27559.034692747504,23638
2021-07-29,27213.388671875,27448.216455915328,27076.578872574384,27253.807388831236,26531
2021-07-30,27830.5390625,27897.492058838325,27158.449516220204,27235.10046638821,45521
2021-08-02,28843.203125,28922.709808132142,27844.765798130094,27844.765798130094,86807
2021-08-03,28753.8515625,28957.17206681134,28463.984076343433,28849.8503478286,46640
2021-08-04,28684.583984375,29636.546901138783,28570.271973795396,28801.701728572283,80489
2021-08-05,28520.646484375,28976.665678240475,28425.43423509939,28829.171402323187,28919
2021-08-06,27949.52734375,28647.020398943467,27895.76841185311,28647.020398943467,30787
2021-08-09,27837.625,28552.496633058734,27620.422006657685,28158.655512564113,30592
2021-08-10,26700.115234375,27760.876705360188,26587.574362035666,27760.876705360188,123170
2021-08-11,26138.74609375,26995.842938070913,25978.798118157785,26795.96854473703,91088
2021-08-12,26183.541015625,26645.467781895302,26092.022958936737,26288.893510216505,75502
2021-08-13,26190.83203125,26633.509121727417,26117.232962604932,26406.06584604834,49672
2021-08-16,25578.556640625,26323.358741037715,25540.795580667385,26323.358741037715,74959
2021-08-17,25796.841796875,25845.82579051607,25328.95927407112,25599.675068701632,37050
2021-08-18,25921.9375,26151.05383269417,25712.90552864489,25834.99629202042,52442
2021-08-20,25886.34375,25959.056291888854,25467.395202600088,25796.59680817326,35529
2021-08-23,25585.83984375,26042.745568781687,25407.922876703353,25993.51542592955,58352
2021-08-24,25829.037109375,25953.983598285387,25353.179695766477,25585.890199660942,31064
2021-08-25,25883.48828125,26052.34768574571,25788.720248114652,25829.038969354824,23925
2021-08-26,26147.1640625,26219.97467620447,25713.888796235675,25846.81018494343,49409
2021-08-27,26483.6015625,26615.39027062554,26043.484084330357,26195.359075398967,43602
2021-08-30,26739.6953125,26997.809326392526,26417.682114026662,26485.913935626268,41390
2021-08-31,27852.349609375,28030.660815395273,26632.27850400165,26731.969550668506,102061
2021-09-01,28039.767578125,28159.64298137614,27517.779965312515,27860.323699336335,75809
2021-09-02,29856.359375,30045.0089027917,28041.49011072362,28110.412312540706,157100
2021-09-03,29972.1015625,30119.792001614343,29500.77098730821,29823.720747504904,81600
2021-09-06,30065.390625,30775.681589622785,29931.976937496154,30029.40262125307,96454
2021-09-07,30181.623046875,30397.59530820808,29794.231805398478,30031.373029064758,59828
2021-09-08,30320.650390625,30454.06408461555,29833.468102684237,30261.278066070914,45814
2021-09-09,30199.09765625,30355.30528000002,29932.910665497264,30315.92116675967,38503
2021-09-13,30191.224609375,30357.918658732826,29860.49609246713,30199.741809538886,28668
2021-09-14,30186.447265625,30310.99952940508,29934.88123087551,30192.94525999433,33014
2021-09-15,30562.513671875,30985.400580809976,30178.076272076945,30296.228609846905,83901
2021-09-16,30188.564453125,30765.147510761228,29838.734283237573,30565.519278323518,92615
2021-09-17,30088.921875,30561.483183647575,29664.115729343637,30384.84504140815,78489
2021-09-20,29638.4140625,30227.304585797214,29378.82316147113,29981.15389698779,52781
2021-09-21,29597.0625,29887.274179297372,29032.24471138974,29784.235110247646,66855
2021-09-22,29333.779296875,29781.577425304433,29119.678184477907,29636.544661775195,44040
2021-09-23,29458.578125,29627.19135908529,29099.592318968167,29391.575133416976,35742
2021-09-24,28958.939453125,29573.871936644406,28671.681605559428,29537.097409150054,45317
2021-09-27,29022.15625,29360.85966124983,28837.39512375857,29175.902383641514,28033
2021-09-28,28792.693359375,29341.16718840479,28642.689488242115,29044.801707743387,31253
2021-09-29,28929.99609375,29070.498155737278,28718.896851318506,28770.09620116315,20612
2021-09-30,28456.548828125,28947.273342526525,28307.33149929644,28929.99471660797,29347
2021-10-01,28651.5,28748.433379220172,28141.769961983948,28356.857603646426,33997
2021-10-04,28838.330078125,28888.24867522417,28593.360110867332,28769.654026826538,22608
2021-10-05,28323.52734375,28972.18445815173,28259.085857670292,28838.3284724739,42151
