symbol,time_ist,spot,pcr,pcr_score,doi_net,oi_bias_score,atm_ce_iv,atm_pe_iv,iv_skew,fut_near_price,fut_next_price,fut_near_oi,fut_near_chg_oi,basis,basis_pct_ann,roll_spread,fut_regime,fut_regime_score,dte,fut_price_change,sentiment_score,sentiment_label,error
DLF,2025-11-01 22:50:27,757.75,0.6644646477859899,-0.6851933017065418,-3205.0,-0.7615941559557649,23.49,22.84,-0.6499999999999986,,,,,,,,,0.0,,,-0.37080408006372134,Bearish,
DABUR,2025-11-01 22:50:27,488.1,0.5332871012482663,-0.8232378982476095,-1752.0,-0.7615941559557649,16.52,21.83,5.309999999999999,,,,,,,,,0.0,,,-0.3231307850698593,Bearish,
DELHIVERY,2025-11-01 22:50:27,466.7,0.6531379180759113,-0.6999258777896105,-74.0,-0.7615941559557649,32.9,33.47,0.5700000000000003,,,,,,,,,0.0,,,-0.35094572394944795,Bearish,
DIXON,2025-11-01 22:50:27,15492.0,0.5545823897695484,-0.8053115816301579,-1539.0,-0.7615941559557649,29.19,28.22,-0.9700000000000024,,,,,,,,,0.0,,,-0.41307253516889,Bearish,
DRREDDY,2025-11-01 22:50:27,1198.0,0.47063545715734323,-0.8676297799230296,-1196.0,-0.7615941559557649,18.09,26.22,8.129999999999999,,,,,,,,,0.0,,,-0.3364483495724854,Bearish,
ETERNAL,2025-11-01 22:50:27,318.0,0.5000552587953583,-0.8482448969482859,-6645.0,-0.7615941559557649,28.65,28.75,0.10000000000000142,,,,,,,,,0.0,,,-0.4047925668996456,Bearish,
EXIDEIND,2025-11-01 22:50:27,382.2,0.8374038591283227,-0.38548862071782247,-1049.0,-0.7615941559557649,27.84,30.64,2.8000000000000007,,,,,,,,,0.0,,,-0.21716767411671006,Bearish,
NYKAA,2025-11-01 22:50:27,248.47,0.7279740154283394,-0.5915616255462449,-712.0,-0.7615941559557649,30.62,31.44,0.8200000000000003,,,,,,,,,0.0,,,-0.3135327855331813,Bearish,
FORTIS,2025-11-01 22:50:27,1024.7,0.5802738021157436,-0.781540094001099,-389.0,-0.7615941559557649,28.5,31.41,2.91,,,,,,,,,0.0,,,-0.3343691042415688,Bearish,
GAIL,2025-11-01 22:50:27,182.2,0.6174334140435835,-0.7426741567608515,-2119.0,-0.7615941559557649,21.93,29.05,7.120000000000001,,,,,,,,,0.0,,,-0.29896166262383195,Bearish,
GLENMARK,2025-11-01 22:50:27,1891.9,0.7221625492302184,-0.6009249223179282,-104.0,-0.7615941559557649,30.11,30.6,0.490000000000002,,,,,,,,,0.0,,,-0.322827560897121,Bearish,
GODREJCP,2025-11-01 22:50:27,1119.9,0.5782312925170068,-0.7835195141350522,-957.0,-0.7615941559557649,21.5,28.87,7.370000000000001,,,,,,,,,0.0,,,-0.31121526983609216,Bearish,
GODREJPROP,2025-11-01 22:50:27,2285.9,0.6806708453328816,-0.6630981269385023,-277.0,-0.7615941559557649,34.03,31.77,-2.2600000000000016,,,,,,,,,0.0,,,-0.3936024312211009,Bearish,
HDFCBANK,2025-11-01 22:50:27,987.95,0.7832614691372412,-0.49438429522046984,-2281.0,-0.7615941559557649,16.66,16.77,0.10999999999999943,,,,,,,,,0.0,,,-0.2984344746219256,Bearish,
HDFCLIFE,2025-11-01 22:50:27,731.0,0.57643128671812,-0.7852508409181289,-1374.0,-0.7615941559557649,18.56,18.41,-0.14999999999999858,,,,,,,,,0.0,,,-0.3908931837904736,Bearish,
HFCL,2025-11-01 22:50:27,73.48,0.5127779197546639,-0.8390795594482349,-157.0,-0.7615941559557649,40.156,41.828,1.6720000000000041,,,,,,,,,0.0,,,-0.37179581761071523,Bearish,
HAVELLS,2025-11-01 22:50:27,1491.0,0.702312925170068,-0.6316866293131779,-314.0,-0.7615941559557649,19.27,20.38,1.1099999999999994,,,,,,,,,0.0,,,-0.3199824726152803,Bearish,
HINDALCO,2025-11-01 22:50:27,849.0,0.9335196527323542,-0.1646872825607264,-876.0,-0.7615941559557649,26.67,26.73,0.05999999999999872,,,,,,,,,0.0,,,-0.20052507355605337,Bearish,
HAL,2025-11-01 22:50:27,4689.0,0.6347844199125182,-0.7225876597821309,-113.0,-0.7615941559557649,27.9,27.88,-0.019999999999999574,,,,,,,,,0.0,,,-0.36949512699247256,Bearish,
HINDUNILVR,2025-11-01 22:50:27,2461.2,0.5095501007237185,-0.8414515931744109,-1032.0,-0.7615941559557649,13.5,19.35,5.850000000000001,,,,,,,,,0.0,,,-0.3285948935478997,Bearish,
HINDZINC,2025-11-01 22:50:27,477.0,0.4092288669064748,-0.9008908038269415,-116.0,-0.7615941559557649,28.52,30.45,1.9299999999999997,,,,,,,,,0.0,,,-0.3857953973359199,Bearish,
POWERINDIA,2025-11-01 22:50:27,17761.0,0.3804347826086957,-0.9136059683162806,-322.0,-0.7615941559557649,38.01,,,,,,,,,,,0.0,,,-0.42640062168603715,Bearish,
HUDCO,2025-11-01 22:50:27,236.8,0.5658682634730539,-0.7951670667071913,-813.0,-0.7615941559557649,34.59,34.27,-0.3200000000000003,,,,,,,,,0.0,,,-0.3972602273628385,Bearish,
ICICIBANK,2025-11-01 22:50:27,1345.5,0.5516461538461539,-0.8078763947718064,-7529.0,-0.7615941559557649,16.99,17.43,0.4400000000000013,,,,,,,,,0.0,,,-0.3859043952116377,Bearish,
ICICIPRULI,2025-11-01 22:50:27,591.9,0.7442557442557443,-0.5644640623138522,-120.0,-0.7615941559557649,20.19,22.22,2.0299999999999976,,,,,,,,,0.0,,,-0.28315094421531734,Bearish,
IDFCFIRSTB,2025-11-01 22:50:27,81.7,0.5648169468109602,-0.796131496274666,-2192.0,-0.7615941559557649,26.998,27.613999999999997,0.6159999999999961,,,,,,,,,0.0,,,-0.3789002359207015,Bearish,
IIFL,2025-11-01 22:50:27,535.0,0.4865122941036047,-0.8574727013870894,-738.0,-0.7615941559557649,33.17,33.01,-0.1600000000000037,,,,,,,,,0.0,,,-0.41275954978782026,Bearish,
INDIANB,2025-11-01 22:50:27,859.5,0.7022559749832478,-0.6317721852874982,-273.0,-0.7615941559557649,28.65,29.29,0.6400000000000006,,,,,,,,,0.0,,,-0.3291199367323288,Bearish,
IEX,2025-11-01 22:50:27,139.31,0.6052460906535995,-0.7560308472640408,-1091.0,-0.7615941559557649,30.74,32.92,2.1800000000000033,,,,,,,,,0.0,,,-0.3380957481875134,Bearish,
IRCTC,2025-11-01 22:50:27,718.0,0.7147413673554293,-0.6126461810336676,-165.0,-0.7615941559557649,19.18,22.08,2.8999999999999986,,,,,,,,,0.0,,,-0.2838461425326712,Bearish,
